,method,n_clusters,adjusted_rand_score,completeness_score,davies_bouldin_score,fowlkes_mallows_score,homogeneity_score,mutual_info_score,name,silhouette_score,v_measure_score
0,kmedians,2,0.5298211554593988,0.4324130987597886,1.182373086704455,0.7715809024045037,0.4464661883854198,0.2978023729042628,KMedians_0,0.3500160827447118,0.43932729064148235
1,kmedians,3,0.5467320492963933,0.40641797816899095,1.8098996471309743,0.7578744785637629,0.61015509596947,0.40698632986396677,KMedians_1,0.26390590769022393,0.4878704871926269
2,kmedians,4,0.383259109765404,0.31800697483902685,2.2419233872596527,0.6388850724567215,0.6284116763098531,0.41916385436172315,KMedians_2,0.1814866187561056,0.42230633535006623
3,kmedians,5,0.40970145491970034,0.3105626685979202,2.2770968451300306,0.6547590121535514,0.6635209217220741,0.44258246223536474,KMedians_3,0.16230028720192338,0.42309475319847056
4,kmedians,6,0.19014210247345723,0.20752884623695378,2.5535105750946423,0.46722530876467705,0.541915781505629,0.36146926653116884,KMedians_4,0.08944325282162047,0.30012399243480564
5,kmedians,7,0.21169620927516952,0.20800977443610394,2.5488933697085963,0.47940016868338703,0.5817172541511301,0.388017689026003,KMedians_5,0.10944759101932705,0.30644227800593815
