,method,n_clusters,adjusted_rand_score,completeness_score,davies_bouldin_score,fowlkes_mallows_score,homogeneity_score,mutual_info_score,name,silhouette_score,v_measure_score
0,kmeans,2,0.3547133799731882,0.27459665954142587,1.9739228775331215,0.6778716223281621,0.2758138270307143,0.19008308699303958,KMeans_0,0.1932081571770985,0.2752038974753223
1,kmeans,3,0.2439572921466977,0.17862112500856425,1.9205790434886634,0.5595621533886495,0.28283736437365914,0.1949235102384238,KMeans_1,0.171932131146642,0.21896109566221103
2,kmeans,4,0.2294097739592319,0.16889790492190035,1.763684325047734,0.5295190119587091,0.32062651805695364,0.22096672592599376,KMeans_2,0.1636233427764219,0.2212479893554262
3,kmeans,5,0.18026224896969767,0.14401540893960807,2.0318169384603637,0.46484253066315157,0.32888192063367305,0.22665611584181686,KMeans_3,0.1568342749043433,0.20031436563890564
4,kmeans,6,0.1553288499454583,0.14102159095653743,1.8476335216077693,0.42679520141234384,0.3611814509373922,0.2489160383941132,KMeans_4,0.17975961630247736,0.20284378462980107
5,kmeans,7,0.11445905635032402,0.101980255687592,1.9008120179887082,0.3853815895454907,0.2760601564292267,0.19025285024599342,KMeans_5,0.164505302889723,0.14894008384008262
