,n_clusters,threshold,crisp,adjusted_rand_score,completeness_score,davies_bouldin_score,fowlkes_mallows_score,homogeneity_score,mutual_info_score,name,silhouette_score,v_measure_score
0,2,0.0010000000000000002,True,0.8178130720257377,0.716558868333563,0.7630713267358407,0.918535283378779,0.7047047085954244,0.4539384330028508,Fuzzy C-Means_0,0.5953253128653059,0.7105823531924659
1,2,0.00010000000000000002,True,0.8178130720257377,0.716558868333563,0.7630713267358407,0.918535283378779,0.7047047085954244,0.4539384330028508,Fuzzy C-Means_1,0.5953253128653059,0.7105823531924659
2,2,1.0000000000000003e-05,True,0.8178130720257377,0.716558868333563,0.7630713267358407,0.918535283378779,0.7047047085954244,0.4539384330028508,Fuzzy C-Means_2,0.5953253128653059,0.7105823531924659
3,3,0.0010000000000000002,True,0.7672404512740705,0.5636250660185161,1.589942659649033,0.8891638527753897,0.7676387835961374,0.4944776759507913,Fuzzy C-Means_3,0.5232794222371238,0.6499995627583275
4,3,0.00010000000000000002,True,0.7672404512740705,0.5636250660185161,1.589942659649033,0.8891638527753897,0.7676387835961374,0.4944776759507913,Fuzzy C-Means_4,0.5232794222371238,0.6499995627583275
5,3,1.0000000000000003e-05,True,0.7672404512740705,0.5636250660185161,1.589942659649033,0.8891638527753897,0.7676387835961374,0.4944776759507913,Fuzzy C-Means_5,0.5232794222371238,0.6499995627583275
6,4,0.0010000000000000002,True,0.4118146133258119,0.36928657929092096,1.7122239644441697,0.6659002830259727,0.7566616921776042,0.4874067374191194,Fuzzy C-Means_6,0.24832390908486732,0.49633720316530244
7,4,0.00010000000000000002,True,0.4118146133258119,0.36928657929092096,1.7122239644441697,0.6659002830259727,0.7566616921776042,0.4874067374191194,Fuzzy C-Means_7,0.24832390908486732,0.49633720316530244
8,4,1.0000000000000003e-05,True,0.4118146133258119,0.36928657929092096,1.7122239644441697,0.6659002830259727,0.7566616921776042,0.4874067374191194,Fuzzy C-Means_8,0.24832390908486732,0.49633720316530244
9,5,0.0010000000000000002,True,0.399364347237722,0.3504995710202942,2.176028923285028,0.6548337984443112,0.7814774303271844,0.5033918970924269,Fuzzy C-Means_9,0.2366354747840291,0.4839453518325319
10,5,0.00010000000000000002,True,0.399364347237722,0.3504995710202942,2.176028923285028,0.6548337984443112,0.7814774303271844,0.5033918970924269,Fuzzy C-Means_10,0.2366354747840291,0.4839453518325319
11,5,1.0000000000000003e-05,True,0.399364347237722,0.3504995710202942,2.176028923285028,0.6548337984443112,0.7814774303271844,0.5033918970924269,Fuzzy C-Means_11,0.2366354747840291,0.4839453518325319
12,6,0.0010000000000000002,True,0.37798680619871844,0.33326963263601955,3.3643736234046675,0.6383046121220092,0.7820232349706745,0.503743479395723,Fuzzy C-Means_12,0.21573463523083855,0.4673653061025709
13,6,0.00010000000000000002,True,0.37798680619871844,0.33326963263601955,3.3643736234046675,0.6383046121220092,0.7820232349706745,0.503743479395723,Fuzzy C-Means_13,0.21573463523083855,0.4673653061025709
14,6,1.0000000000000003e-05,True,0.37798680619871844,0.33326963263601955,3.3643736234046675,0.6383046121220092,0.7820232349706745,0.503743479395723,Fuzzy C-Means_14,0.21573463523083855,0.4673653061025709
15,7,0.0010000000000000002,True,0.37858236757287755,0.3275997687656994,2.7031852566402104,0.6386418624478689,0.7871082096301065,0.5070189867119186,Fuzzy C-Means_15,0.2009801397506015,0.4626439793487295
16,7,0.00010000000000000002,True,0.37858236757287755,0.3275997687656994,2.7031852566402104,0.6386418624478689,0.7871082096301065,0.5070189867119186,Fuzzy C-Means_16,0.2009801397506015,0.4626439793487295
17,7,1.0000000000000003e-05,True,0.37858236757287755,0.3275997687656994,2.7031852566402104,0.6386418624478689,0.7871082096301065,0.5070189867119186,Fuzzy C-Means_17,0.2009801397506015,0.4626439793487295
